병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,데이터기준일자
일등치과의원,치과의원,031-401-2876,"경기도 안산시 단원구 선부광장로 23, 안산세이브시티 3층 301호 (선부동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
임마누엘치과의원,치과의원,031-410-2875,"경기도 안산시 단원구 라성로 40, A동 2층 1,2호 (원곡동, 반월종합상가)",09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~20:00,09:30~13:00,,,2022-06-01
임치과의원,치과의원,031-494-5001,경기도 안산시 단원구 원곡로 38 (원곡동),10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:30,,,2022-06-01
정치과의원,치과의원,031-484-2875,"경기도 안산시 단원구 화랑로 358, 208,214호 (고잔동, 자유센타)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
진솔치과의원,치과의원,031-402-2872,"경기도 안산시 단원구 삼일로 469, 201호 (고잔동, 상우상가)",10:00~18:00,10:00~18:00,10:00~20:00,10:00~13:00,10:00~18:00,10:00~13:00,,,2022-06-01
처음가는소아치과의원,치과의원,031-8042-2824,"경기도 안산시 단원구 광덕3로 178, 화승타운 309호 (고잔동)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,09:30~14:00,,,2022-06-01
초지메이저치과의원,치과의원,031-503-2080,"경기도 안산시 단원구 화랑로 160, 단지내 상가 305~307호 (초지동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
초지일관치과의원,치과의원,031-494-2782,"경기도 안산시 단원구 화랑로 102, 이편한세상초지역센트럴포레 상가1동 201~206호 (원곡동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,,,,2022-06-01
킴스치과의원,치과의원,031-475-7528,"경기도 안산시 단원구 광덕대로 174 (고잔동, 월드타운 501호, 509호 일부, 510호)",10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~12:00,,,2022-06-01
평화의치과의원,치과의원,031-482-7533,경기도 안산시 단원구 선부광장1로 82 (선부동),09:40~22:00,09:40~22:00,09:40~22:00,09:40~22:00,09:40~22:00,10:00~13:00,,,2022-06-01
포도나무치과의원,치과의원,031-403-0033,"경기도 안산시 단원구 광덕대로 174, 월드타운 C동 417호 (고잔동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,,,2022-06-01
푸른치과의원,치과의원,031-493-7528,"경기도 안산시 단원구 화랑로 123 (원곡동, 한화꿈에그림(아)상가 202호)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~14:00,,,2022-06-01
하나치과의원,치과의원,031-494-0043,"경기도 안산시 단원구 원초로 23, 상가동 101,102호 (원곡동, 대우푸르지오8차아파트)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,,,2022-06-01
한결치과의원,치과의원,031-485-2800,"경기도 안산시 단원구 선부광장1로 72, 305호 (선부동, 훼미리프라자)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
한림치과의원,치과의원,031-486-2875,"경기도 안산시 단원구 광덕동로 61, 303,304호 (고잔동, 중앙프라자)",10:00~18:00,10:00~18:00,10:00~19:00,10:00~18:00,10:00~18:00,10:00~14:00,,,2022-06-01
한사랑치과의원,치과의원,031-507-2875,"경기도 안산시 단원구 광덕1로 159, 302호 (고잔동, 대림프라자)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
해맑은치과의원,치과의원,031-486-2822,"경기도 안산시 단원구 달미로 67, 2층 (선부동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:30,,,2022-06-01
행복한어린이치과의원,치과의원,031-410-2275,"경기도 안산시 단원구 선부광장1로 56, 206~210호 (선부동, 일성빌딩)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,09:30~14:00,,,2022-06-01
현대치과의원,치과의원,031-494-4907,"경기도 안산시 단원구 산단로 342, 원곡유통상가 A동 308호 (원곡동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~12:00,,,2022-06-01
화이트치과의원,치과의원,031-8040-5880,"경기도 안산시 단원구 원포공원로 10, 402호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
효치과의원,치과의원,031-414-2835,경기도 안산시 단원구 라성로 36  (원곡동),10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,,,2022-06-01
늘푸른한방병원,한방병원,031-475-1079,"경기도 안산시 단원구 선부광장로 95, 203,301~305호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,,,2022-06-01
동의한방병원,한방병원,031-365-3500,"경기도 안산시 단원구 적금로 120, 안산상공회의소 2,3,4층 (고잔동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
백운한방병원,한방병원,031-405-1075,"경기도 안산시 단원구 라성안길 17, 101,302,302-1,307,307-1,2,3호 (원곡동, 베스트플라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,09:00~14:00,09:00~14:00,2022-06-01
서연의료소비자생활협동조합성심한방병원,한방병원,031-401-2468,"경기도 안산시 단원구 광덕2로 164, 더와이피 2,3층 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
안산수한방병원,한방병원,031-439-1075,경기도 안산시 단원구 당곡로 11 (고잔동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
안산자생한방병원,한방병원,031-362-8662,경기도 안산시 단원구 광덕대로 241 (고잔동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,09:00~18:00,,,2022-06-01
튼튼건강의료소비자생협누리한방병원,한방병원,031-480-4111,"경기도 안산시 단원구 선부광장1로 56, 5층 (선부동)",09:00~18:00,09:00~18:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
하눌한방병원,한방병원,031-401-7733,"경기도 안산시 단원구 광덕대로 151, 삼영타운 6층 604,606~611호 (고잔동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:00~13:00,,,2022-06-01
해솔한방병원,한방병원,031-403-2700,"경기도 안산시 단원구 광덕서로 100, 두성타워 201호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
21세기경희한의원,한의원,031-482-1075,경기도 안산시 단원구 광덕동로 55 (고잔동),10:00~19:30,10:00~19:30,10:00~19:30,14:00~19:30,10:00~19:30,10:00~16:00,,,2022-06-01
365선부한의원,한의원,031-403-3338,"경기도 안산시 단원구 선부광장1로 108, 다이아몬드프라자 207호 (선부동)",,,,,,,,,2022-06-01
감초당한의원,한의원,031-414-5910,"경기도 안산시 단원구 선부광장1로 62, 301호 (선부동, 동원프라자)",09:30~17:30,09:30~17:30,09:30~21:00,09:30~17:30,09:30~17:30,09:30~14:00,,,2022-06-01
갑산한의원,한의원,031-439-8275,"경기도 안산시 단원구 광덕1로 56 (초지동, 로얄프라자 201,208호)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,09:30~15:00,2022-06-01
경락한의원,한의원,031-401-1075,경기도 안산시 단원구 선부로 195 (선부동),09:00~20:00,09:00~18:00,09:00~20:00,09:00~18:00,09:00~20:00,09:00~13:00,,,2022-06-01
경희매일아침한의원,한의원,031-413-0930,"경기도 안산시 단원구 화랑로 159, 단지내 상가 2층 202,203호 (초지동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~14:00,,09:30~14:00,2022-06-01
경희사암한의원,한의원,031-439-3003,"경기도 안산시 단원구 광덕동로 101, 203호 (고잔동, 두일빌딩)",10:00~20:00,,10:00~20:00,10:00~20:00,10:00~20:00,10:00~18:00,,,2022-06-01
경희소명한의원,한의원,031-403-1075,"경기도 안산시 단원구 선부광장1로 66, 209호 (선부동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
경희수한의원,한의원,031-486-1075,"경기도 안산시 단원구 석수로5길 14, 2층 (선부동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~17:00,12:00~17:00,09:30~17:00,2022-06-01
경희한의원,한의원,031-480-7151,"경기도 안산시 단원구 화랑로 358, 313호 (고잔동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~16:00,,,2022-06-01
공단한의원,한의원,031-492-2700,"경기도 안산시 단원구 동산로 48, 2층 1호 (원시동, 지원회관)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
광제당한의원,한의원,031-411-4464,"경기도 안산시 단원구 선부광장1로 56, 214호,216호,217호 (선부동, 일성빌딩)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,,,2022-06-01
김형주한의원,한의원,031-480-7510,"경기도 안산시 단원구 고잔로 88, 507,508호 (고잔동)",09:30~19:00,09:30~13:00,09:30~19:00,09:30~13:00,09:30~19:00,09:30~14:00,,,2022-06-01
남경한의원,한의원,031-292-8575,"경기도 안산시 단원구 원곡로 44, 2층 (원곡동)",09:00~21:00,09:00~19:30,09:00~21:00,09:00~19:30,09:00~21:00,,,,2022-06-01
노현숙한의원,한의원,031-486-7557,"경기도 안산시 단원구 삼일로 451, 1~2층 (와동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,,,2022-06-01
녹현한의원,한의원,031-485-7875,"경기도 안산시 단원구 광덕서로 56, 303호 (고잔동, 금강프라자)",09:30~20:30,09:30~19:00,09:30~19:00,09:30~20:30,09:30~19:00,09:30~15:00,,,2022-06-01
늘푸른한의원,한의원,031-413-1075,"경기도 안산시 단원구 초지로 90, 305호 (초지동, 태영프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,,2022-06-01
다솔한의원,한의원,031-504-2508,"경기도 안산시 단원구 화랑로 67, 1층 (원곡동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,,,2022-06-01
다자래한의원,한의원,031-362-5375,"경기도 안산시 단원구 화랑로 130, 단지내  상가 1동 2층 208,209,210,211호 (원곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,09:00~20:00,09:00~14:00,,,2022-06-01
다정한의원,한의원,031-481-8870,"경기도 안산시 단원구 지곡로 28, 1,2,3층 (선부동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
단원경희한의원,한의원,031-401-2672,"경기도 안산시 단원구 보배4길 15, 2층 (고잔동)",09:30~19:00,09:30~20:30,09:30~13:00,09:30~19:00,09:30~20:30,09:30~13:00,,,2022-06-01
대부명성한의원,한의원,032-886-8081,"경기도 안산시 단원구 대부중앙로 110, 1층 1호,2호 (대부북동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
대자인한의원,한의원,031-405-5075,"경기도 안산시 단원구 예술대학로 9, 309~311호 (고잔동)",09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~16:00,,,2022-06-01
더선부한의원,한의원,031-411-1808,"경기도 안산시 단원구 선부광장1로 10, 동양빌딩 124호 (선부동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,2022-06-01
도원한의원,한의원,031-483-5075,"경기도 안산시 단원구 초지로 100, 204호 (초지동, 세종프라자)",09:30~18:30,09:30~18:30,09:30~16:30,09:30~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
동보한의원,한의원,031-402-7588,"경기도 안산시 단원구 선부광장1로 69 (선부동, 산호한양아파트 상가동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
둘리한의원,한의원,031-402-6123,"경기도 안산시 단원구 선부광장1로 72, 304호 (선부동, 훼미리프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,10:00~16:00,2022-06-01
리바디한의원,한의원,031-364-8475,"경기도 안산시 단원구 중앙대로 907, 안산종합상가 2동 3층 2306호 (고잔동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~16:00,10:00~16:00,10:00~16:00,2022-06-01
맑은숲한의원,한의원,031-414-1475,"경기도 안산시 단원구 예술대학로 17, 402호 (고잔동, 중앙노블레스)",10:00~19:00,10:00~20:30,10:00~19:00,14:00~20:30,10:00~19:00,10:00~16:00,,,2022-06-01
명성한의원,한의원,031-483-7667,"경기도 안산시 단원구 당곡2로 23, 204호 (고잔동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
명인한의원,한의원,031-480-0035,"경기도 안산시 단원구 초지동로 33 (초지동, 한남빌딩304호)",09:30~19:00,09:30~19:00,09:30~21:00,14:00~19:00,09:30~19:00,09:30~14:00,,,2022-06-01
목인한의원,한의원,031-411-0882,"경기도 안산시 단원구 초지로 94, 306호 (초지동, 한솔프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,,2022-06-01
미듬가는의료소비자생활협동조합해밀한의원,한의원,031-484-5775,"경기도 안산시 단원구 선부로 253, 2층,4층 (와동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
미소로한의원,한의원,031-411-4647,"경기도 안산시 단원구 예술대학로 17, 4층 408호 (고잔동, 안산중앙노블레스)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~19:00,09:00~14:00,,,2022-06-01
미올한의원,한의원,031-486-1023,"경기도 안산시 단원구 예술대학로 17, 안산중앙노블레스 209~211, 912~915호 (고잔동)",10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:00~15:00,,,2022-06-01
바른한의원,한의원,031-484-1275,"경기도 안산시 단원구 광덕1로 63, 203호 (초지동, 메디프라자)",09:25~19:00,09:25~19:00,09:25~19:00,09:25~19:00,09:25~19:00,09:30~14:00,,09:30~14:00,2022-06-01
박지훈한의원,한의원,031-492-8787,"경기도 안산시 단원구 원본로 26, 3층 (원곡동)",09:00~21:00,09:00~18:00,09:00~21:00,09:00~18:00,09:00~21:00,09:00~14:00,,,2022-06-01
발머스한의원,한의원,031-438-7030,"경기도 안산시 단원구 광덕서로 86, 501호 (고잔동, 안산법조타운)",10:00~21:00,10:00~19:00,,14:00~21:00,10:00~19:00,10:00~16:00,,,2022-06-01
밝은경희한의원,한의원,031-507-8275,"경기도 안산시 단원구 광덕1로 159, 401호 (고잔동, 대림프라자)",09:30~18:30,09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~16:00,,,2022-06-01
보령한의원,한의원,031-486-3686,"경기도 안산시 단원구 적금로 53, 1층 (고잔동)",09:30~19:00,09:30~19:00,09:30~19:00,,09:30~19:00,09:30~12:30,09:30~16:00,,2022-06-01
부부한의원,한의원,031-401-1112,"경기도 안산시 단원구 광덕동로 71, 303,304호 (고잔동, 네오빌딩)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
사랑샘한의원,한의원,031-411-8275,"경기도 안산시 단원구 초지동로 7, 204호 (초지동, 한남스포랜드)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
사랑인한의원,한의원,031-365-3682,"경기도 안산시 단원구 예술대학로 17, 안산중앙노블레스 307, 319호 (고잔동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~16:00,10:00~16:00,10:00~16:00,2022-06-01
삼정한의원,한의원,031-483-2480,"경기도 안산시 단원구 화랑로 123, 201호 (원곡동, 한화@상가)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
새날한의원,한의원,031-486-7588,"경기도 안산시 단원구 광덕서로 86, 303호 (고잔동, 안산법조타운)",09:30~18:30,09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~14:00,,,2022-06-01
생기한의원안산점,한의원,031-365-4779,"경기도 안산시 단원구 고잔로 76, 6층 601호 (고잔동, 영풍빌딩)",10:00~18:00,10:00~21:00,,10:00~21:00,10:00~18:00,09:00~15:00,,,2022-06-01
생명마루한의원,한의원,031-509-7533,"경기도 안산시 단원구 중앙대로 907, 2동 3층 2304호 (고잔동, 안산종합상가)",10:00~20:30,10:00~20:30,10:00~20:30,14:00~20:30,10:00~20:30,10:00~14:30,,,2022-06-01
서민한의원,한의원,031-494-5520,경기도 안산시 단원구 원선로 49 (원곡동),09:30~19:00,09:30~19:00,09:30~19:00,14:00~21:00,09:30~19:00,09:30~15:00,,,2022-06-01
선부경희한의원,한의원,031-402-1808,"경기도 안산시 단원구 선부광장1로 82, 307호 (선부동, 서림빌딩)",09:00~19:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~15:00,,,2022-06-01
성심한의원,한의원,031-411-1774,"경기도 안산시 단원구 선부광장1로 82, 307호 (선부동, 서림빌딩)",09:30~19:30,09:30~19:30,09:30~19:30,09:30~21:00,09:30~19:30,09:30~16:00,,,2022-06-01
시원한한의원,한의원,031-493-1076,"경기도 안산시 단원구 새뿔길 19, 2층 (신길동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~12:00,,,2022-06-01
아이조아패밀리한의원,한의원,031-487-3275,"경기도 안산시 단원구 광덕대로 187, 310호 (고잔동, 장은타워)",,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,09:00~16:30,,10:00~16:30,2022-06-01
안산365한의원,한의원,031-403-3655,"경기도 안산시 단원구 광덕4로 180, 부원프라자 409호, 410호 (고잔동)",10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,09:00~15:00,09:00~15:00,,2022-06-01
안산유진곤한의원,한의원,031-411-7512,"경기도 안산시 단원구 와동로 3, 201,202호 (와동)",09:00~19:00,09:00~21:00,09:00~19:00,09:00~21:00,09:00~19:00,09:00~14:00,,,2022-06-01
약손경희한의원,한의원,031-439-1108,"경기도 안산시 단원구 라성안길 1, 201호 (원곡동, 삼우상가)",09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~14:30,,,2022-06-01
양지한의원,한의원,031-405-7582,"경기도 안산시 단원구 와동공원로 155, 2~4층 (와동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
어담한의원,한의원,031-401-8275,"경기도 안산시 단원구 원초로 24, 302,303호 (원곡동, 벽산블루밍아파트상가동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,,,2022-06-01
예림한의원,한의원,031-411-4111,"경기도 안산시 단원구 중앙대로 921, 422호 (고잔동, 동서코아)",10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~14:00,,,2022-06-01
오름한의원,한의원,031-487-7121,"경기도 안산시 단원구 고잔로 102, 301호 (고잔동)",10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~19:00,09:30~13:00,,,2022-06-01
온새미로의료소비자생활협동조합 초지한의원,한의원,031-405-1065,"경기도 안산시 단원구 원포공원1로 49, 412~414호 (초지동, 태영타운)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
와동한의원,한의원,031-486-4218,"경기도 안산시 단원구 와동로 126, 1층 (와동)",10:00~21:00,10:00~18:30,10:00~18:30,10:00~21:00,10:00~18:30,,,,2022-06-01
우리가족한의원,한의원,031-487-8275,"경기도 안산시 단원구 선부로 187, 3층 (선부동, 유송빌딩)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,10:00~18:00,10:00~13:00,,,2022-06-01
으뜸맥한의원,한의원,031-483-8853,"경기도 안산시 단원구 광덕3로 167, 201호 (고잔동, 신영프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:30~14:00,,,2022-06-01
의료법인세창의료재단우성한의원,한의원,031-412-3016,경기도 안산시 단원구 고잔로 58-10 (고잔동),09:30~15:30,09:30~15:30,09:30~15:30,09:30~15:30,09:30~15:30,09:30~13:00,,,2022-06-01
의료법인편강의료재단편강한의원,한의원,031-487-7773,"경기도 안산시 단원구 광덕4로 250, 씨티프라자 201호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~16:00,,,2022-06-01
인애한의원,한의원,031-365-3132,"경기도 안산시 단원구 고잔2길 59 (고잔동, 신세기빌딩)",10:00~20:00,10:00~20:00,14:00~20:00,10:00~20:00,10:00~20:00,10:00~16:00,,,2022-06-01
일등한의원,한의원,031-410-0102,"경기도 안산시 단원구 라성로 36, B동 109~112호 (원곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,,09:00~16:00,2022-06-01
자경한의원,한의원,031-487-7588,"경기도 안산시 단원구 와동공원로 116, 2층 (와동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,,,2022-06-01
자민한의원,한의원,031-414-8575,"경기도 안산시 단원구 광덕3로 178, 206호 (고잔동, 화승타운)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
자연과한의원,한의원,031-401-7579,"경기도 안산시 단원구 중앙대로 907, 안산종합상가 1동 4층 1406호 (고잔동)",10:00~20:00,14:00~21:00,10:00~20:00,14:00~21:00,10:00~20:00,10:00~16:00,,,2022-06-01
자연한의원,한의원,031-484-8275,"경기도 안산시 단원구 선부광장1로 70, 305호 (선부동, 군자빌딩)",09:30~19:00,09:30~19:00,09:30~21:00,09:30~13:00,09:30~19:00,09:30~15:00,,,2022-06-01
좋아요한의원,한의원,031-410-1075,"경기도 안산시 단원구 선부광장1로 10, 동양빌딩 402~403호 (선부동)",09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~13:00,09:30~13:00,09:30~13:00,2022-06-01
중앙경희한의원,한의원,031-403-7582,"경기도 안산시 단원구 예술대학로 83, 201호 (고잔동)",09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~16:00,,,2022-06-01
채한의원,한의원,031-483-3535,"경기도 안산시 단원구 고잔로 108, 2층 202호 (고잔동)",11:00~21:00,11:00~21:00,11:00~21:00,,11:00~21:00,09:50~17:00,,,2022-06-01
청담BS한의원,한의원,031-405-7975,"경기도 안산시 단원구 광덕대로 174, A동 401호 (고잔동, 월드타운)",10:00~19:00,10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~16:00,,,2022-06-01
총명한의원,한의원,031-484-3355,"경기도 안산시 단원구 광덕대로 146, 일번지프라자 403호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
춘하한의원,한의원,031-405-7275,"경기도 안산시 단원구 광덕대로 181, 401호 (고잔동, BYC빌딩)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~14:00,,,2022-06-01
쾌통한의원,한의원,031-495-5975,"경기도 안산시 단원구 산단로 278, A동 105호 (원시동, 반월하이테크빌리지)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
평안한의원,한의원,031-411-2462,"경기도 안산시 단원구 광덕동로 67, 신명빌딩 203호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,,09:30~17:00,09:30~13:00,,2022-06-01
평화한의원,한의원,031-484-5511,"경기도 안산시 단원구 고잔2길 41, 501호 (고잔동, 신양프라자)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
폴리한의원,한의원,031-365-4581,"경기도 안산시 단원구 고잔로 88, 8층 806호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~15:00,,,2022-06-01
하늘체한의원,한의원,031-365-3675,"경기도 안산시 단원구 고잔1길 17, 602호,603호 (고잔동, 대유빌딩)",11:00~21:00,11:00~21:00,15:00~21:00,11:00~21:00,11:00~21:00,11:00~16:00,,,2022-06-01
한가족경희한의원,한의원,031-411-0659,"경기도 안산시 단원구 원초로 30, 304호 (원곡동, 보성프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
한양한의원,한의원,031-410-7946,"경기도 안산시 단원구 선부로 183, 303호 (선부동, 화성프라자)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,09:30~13:00,2022-06-01
함소아한의원,한의원,031-411-0448,"경기도 안산시 단원구 광덕대로 174, C동 418호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~20:00,09:30~16:30,,09:30~16:30,2022-06-01
해율한의원,한의원,031-255-9999,"경기도 안산시 단원구 고잔2길 45, 코스모프라자 302호 (고잔동)",11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,10:30~16:00,,,2022-06-01
혜민한의원,한의원,031-405-1684,"경기도 안산시 단원구 선부광장1로 69, 213호 (선부동, 산호한양아파트상가)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
홍한의원,한의원,031-401-0990,"경기도 안산시 단원구 선부광장1로 30, 305~308호 (선부동, 단원프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
반월바른플란트치과의원,치과의원,031-409-2879,"경기도 안산시 상록구 건건로 123, 한맥빌딩 3층 (건건동)",,,,,,,,,2022-06-01
연세세브란스 치과의원,치과의원,031-502-2080,"경기도 안산시 상록구 석호로 290, 2~3층 (본오동)",,,,,,,,,2022-06-01
서울지혜로운치과의원,치과의원,031-501-2879,"경기도 안산시 상록구 용신로 389, 상록수상가 301,302호 (본오동)",,,,,,,,,2022-06-01
연세해솔가정의학과의원,의원,031-415-5425,"경기도 안산시 상록구 해양5로 11, 214~215호 (사동)",,,,,,,,,2022-06-01
평강채한의원,한의원,031-418-8875,"경기도 안산시 상록구 상록수로 54, 대동빌딩 302호 (본오동)",,,,,,,,,2022-06-01
우리예담의료소비자생활협동조합 한국의원,의원,031-418-8272,"경기도 안산시 상록구 각골로 76, 2~3층, 4층(401호) (본오동)",,,,,,,,,2022-06-01
